,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,0,45%,0,25%,0,0,25%,0,0,0,0,25%,0,0,30,0.703125,14.222222222222221
2,0,25%,0,0,0,25%,0,0,25%,0,0,0,45%,0,0,0,30,0.703125,14.222222222222221
3,0,0,0,45%,0,0,25%,0,25%,0,0,0,45%,0,0,0,35,1.265625,12.444444444444443
4,0,0,0,45%,25%,0,0,0,0,25%,0,0,45%,0,0,0,35,1.265625,12.444444444444443
5,0,25%,0,0,0,0,25%,0,25%,0,0,0,45%,0,0,0,30,0.703125,14.222222222222221
6,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
7,0,0,0,45%,0,25%,0,0,0,0,25%,0,45%,0,0,0,35,1.265625,12.444444444444443
8,0,25%,0,0,0,25%,0,0,0,0,0,25%,45%,0,0,0,30,0.703125,14.222222222222221
9,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
10,0,0,25%,0,25%,0,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
11,0,0,0,45%,0,0,0,25%,0,25%,0,0,0,25%,0,0,30,0.703125,14.222222222222221
12,0,0,25%,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
13,0,0,0,45%,0,0,0,25%,0,0,25%,0,45%,0,0,0,35,1.265625,12.444444444444443
14,5%,0,0,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,20,0.078125,32
15,0,0,25%,0,0,0,0,25%,0,0,25%,0,45%,0,0,0,30,0.703125,14.222222222222221
16,0,0,25%,0,25%,0,0,0,0,0,0,25%,45%,0,0,0,30,0.703125,14.222222222222221
17,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
18,0,0,0,45%,0,0,25%,0,0,0,0,25%,0,0,25%,0,30,0.703125,14.222222222222221
19,0,0,0,45%,0,0,0,25%,0,0,0,25%,0,0,25%,0,30,0.703125,14.222222222222221
20,0,0,0,45%,0,0,0,25%,0,0,25%,0,0,0,0,5%,25,0.140625,30.22222222222222
