,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,25%,0,0,0,25%,0,0,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
2,25%,0,0,0,25%,0,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
3,0,0,20%,0,0,0,25%,0,0,0,0,25%,0,25%,0,0,23.75,0.3125,17
4,25%,0,0,0,25%,0,0,0,25%,0,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
5,25%,0,0,0,0,30%,0,0,25%,0,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
6,0,25%,0,0,0,30%,0,0,0,25%,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
7,0,25%,0,0,25%,0,0,0,25%,0,0,0,0,0,0,20%,23.75,0.3125,17
8,0,0,0,30%,0,30%,0,0,25%,0,0,0,30%,0,0,0,28.75,0.675,14.000000000000002
9,25%,0,0,0,0,30%,0,0,0,25%,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
10,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,0,20%,23.75,0.3125,17
11,0,25%,0,0,25%,0,0,0,0,0,25%,0,0,0,0,20%,23.75,0.3125,17
12,0,0,0,30%,0,30%,0,0,0,0,25%,0,0,25%,0,0,27.5,0.5625,14.666666666666668
13,0,0,0,30%,0,0,25%,0,0,25%,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
14,0,0,0,30%,0,0,25%,0,0,25%,0,0,0,0,25%,0,26.25,0.46875,15.333333333333334
15,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
16,0,0,0,30%,0,0,0,20%,0,0,25%,0,0,0,25%,0,25,0.375,16.333333333333336
17,0,0,20%,0,0,0,0,20%,0,0,25%,0,0,0,25%,0,22.5,0.25,18
18,0,0,20%,0,0,0,0,20%,0,0,0,25%,0,25%,0,0,22.5,0.25,18
19,0,0,20%,0,0,0,0,20%,0,0,0,25%,0,0,0,20%,21.25,0.2,19
20,0,0,0,30%,0,30%,0,0,0,0,0,25%,30%,0,0,0,28.75,0.675,14.000000000000002
