,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
2,45%,0,0,0,0,25%,0,0,25%,0,0,0,0,0,25%,0,30,0.703125,14.222222222222221
3,0,0,25%,0,25%,0,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
4,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
5,45%,0,0,0,25%,0,0,0,0,25%,0,0,45%,0,0,0,35,1.265625,12.444444444444443
6,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
7,45%,0,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,30,0.703125,14.222222222222221
8,45%,0,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,30,0.703125,14.222222222222221
9,45%,0,0,0,0,25%,0,0,0,0,25%,0,45%,0,0,0,35,1.265625,12.444444444444443
10,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
11,0,0,25%,0,25%,0,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
12,0,25%,0,0,0,25%,0,0,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
13,0,0,25%,0,0,0,0,25%,25%,0,0,0,45%,0,0,0,30,0.703125,14.222222222222221
14,45%,0,0,0,25%,0,0,0,0,25%,0,0,0,0,25%,0,30,0.703125,14.222222222222221
15,45%,0,0,0,0,0,25%,0,0,0,25%,0,45%,0,0,0,35,1.265625,12.444444444444443
16,45%,0,0,0,0,0,0,25%,0,25%,0,0,45%,0,0,0,35,1.265625,12.444444444444443
17,0,0,25%,0,0,0,25%,0,0,0,25%,0,45%,0,0,0,30,0.703125,14.222222222222221
18,0,25%,0,0,0,0,25%,0,0,0,0,25%,45%,0,0,0,30,0.703125,14.222222222222221
19,45%,0,0,0,0,0,0,25%,0,0,0,25%,45%,0,0,0,35,1.265625,12.444444444444443
20,0,0,0,5%,0,0,0,25%,0,0,0,25%,0,0,0,5%,15,0.015625,48
